County,2010,2011,2012,2013,2014
"Staunton city, Virginia",23825,24058,23921,24318,24538
"Suffolk city, Virginia",84881,84768,85183,85749,86806
"Virginia Beach city, Virginia",439073,442984,445769,449308,450980
"Waynesboro city, Virginia",21068,21094,21105,21250,21366
"Williamsburg city, Virginia",13689,14262,14617,14745,14691
"Winchester city, Virginia",26183,26756,27178,27497,27543
"Adams County, Washington",18760,18830,18914,19073,19179
"Asotin County, Washington",21697,21911,21873,22104,22189
"Benton County, Washington",176456,180475,182396,184453,186486
"Chelan County, Washington",72727,73300,73670,74037,74588
"Clallam County, Washington",71526,71783,71848,72250,72715
"Clark County, Washington",426869,432668,437505,443312,451008
"Columbia County, Washington",4112,4022,4001,4036,3985
"Cowlitz County, Washington",102392,102329,101777,101729,102133
"Douglas County, Washington",38534,38791,39325,39459,39804
"Ferry County, Washington",7549,7689,7719,7663,7667
"Franklin County, Washington",79122,83164,85831,86614,87809
"Garfield County, Washington",2265,2248,2225,2248,2215
"Grant County, Washington",89592,90781,91688,92084,93147
"Grays Harbor County, Washington",72833,72311,71705,71001,70818
"Island County, Washington",78692,78969,79230,78589,79275
"Jefferson County, Washington",29904,29868,29823,30067,30228
"King County, Washington",1937424,1972113,2008526,2046956,2079967
"Kitsap County, Washington",251650,254372,254659,253205,254183
"Kittitas County, Washington",41011,41575,41638,41781,42522
"Klickitat County, Washington",20360,20664,20613,20843,20861
"Lewis County, Washington",75487,75660,75532,75102,75128
"Lincoln County, Washington",10563,10513,10437,10283,10250
"Mason County, Washington",60750,60905,60751,60521,60711
"Okanogan County, Washington",41236,41325,41218,41136,41290
"Pacific County, Washington",20899,20867,20563,20434,20561
"Pend Oreille County, Washington",12971,12946,12998,12924,12985
"Pierce County, Washington",795448,803486,812363,820219,831928
"San Juan County, Washington",15757,15802,15792,15871,16015
"Skagit County, Washington",116967,117740,118005,118742,120365
"Skamania County, Washington",11099,11124,11151,11255,11340
"Snohomish County, Washington",715362,722421,732942,746446,759583
"Spokane County, Washington",472019,473381,475704,479327,484318
"Stevens County, Washington",43503,43510,43610,43433,43650
"Thurston County, Washington",253046,256481,258713,262561,265851
"Wahkiakum County, Washington",3970,4013,3984,4044,4067
"Walla Walla County, Washington",58917,59523,59458,59637,59844
"Whatcom County, Washington",201518,203329,204827,206248,208351
"Whitman County, Washington",44778,45064,46590,46758,46827
"Yakima County, Washington",244146,246159,246721,247297,247687
"Barbour County, West Virginia",16596,16596,16860,16796,16766
"Berkeley County, West Virginia",104659,105719,107062,108684,110497
"Boone County, West Virginia",24612,24474,24397,24087,23714
"Braxton County, West Virginia",14525,14541,14485,14445,14463
"Brooke County, West Virginia",23991,23919,23791,23706,23530
"Cabell County, West Virginia",96347,96557,96935,97181,97109
"Calhoun County, West Virginia",7638,7639,7591,7533,7513
"Clay County, West Virginia",9359,9378,9251,9202,8941
"Doddridge County, West Virginia",8198,8183,8220,8417,8391
"Fayette County, West Virginia",45993,45954,45898,45567,45132
"Gilmer County, West Virginia",8717,8765,8778,8650,8618
"Grant County, West Virginia",11900,11929,11841,11788,11687
"Greenbrier County, West Virginia",35516,35674,35806,35749,35450
"Hampshire County, West Virginia",23951,23792,23678,23467,23483
"Hancock County, West Virginia",30662,30516,30328,30229,30112
"Hardy County, West Virginia",14028,13981,13870,13973,13923
"Harrison County, West Virginia",69240,69269,69148,68926,68761
"Jackson County, West Virginia",29250,29303,29280,29187,29126
"Jefferson County, West Virginia",53647,54364,54566,54961,55713
"Kanawha County, West Virginia",193029,192027,192152,191394,190223
"Lewis County, West Virginia",16387,16380,16426,16455,16414
"Lincoln County, West Virginia",21669,21606,21638,21520,21561
"Logan County, West Virginia",36725,36453,36336,35981,35348
"McDowell County, West Virginia",22064,21690,21314,20890,20448
"Marion County, West Virginia",56518,56624,56787,56758,56803
"Marshall County, West Virginia",33060,32839,32684,32580,32416
"Mason County, West Virginia",27335,27318,27222,27146,27016
"Mercer County, West Virginia",62313,62437,62358,61910,61785
"Mineral County, West Virginia",28248,28093,27933,27707,27578
"Mingo County, West Virginia",26766,26591,26122,25948,25716
"Monongalia County, West Virginia",96766,98684,100531,102217,103463
"Monroe County, West Virginia",13503,13540,13492,13502,13582
"Morgan County, West Virginia",17503,17440,17433,17422,17453
"Nicholas County, West Virginia",26233,26149,26252,25987,25827
"Ohio County, West Virginia",44479,44191,44056,43728,43328
"Pendleton County, West Virginia",7700,7580,7532,7443,7371
"Pleasants County, West Virginia",7577,7599,7592,7596,7634
"Pocahontas County, West Virginia",8702,8817,8697,8673,8662
"Preston County, West Virginia",33562,33630,33910,33708,33788
"Putnam County, West Virginia",55694,56140,56589,56586,56770
"Raleigh County, West Virginia",78909,79233,79122,78629,78241
"Randolph County, West Virginia",29376,29438,29420,29566,29429
"Ritchie County, West Virginia",10399,10349,10269,10077,10011
"Roane County, West Virginia",14887,14826,14710,14655,14664
"Summers County, West Virginia",13932,13852,13761,13532,13417
"Taylor County, West Virginia",16877,16922,16984,16992,17069
"Tucker County, West Virginia",7110,7047,6941,6953,6927
"Tyler County, West Virginia",9188,9105,9033,8998,9098
"Upshur County, West Virginia",24261,24276,24506,24662,24731
"Wayne County, West Virginia",42424,41930,41672,41525,41122
"Webster County, West Virginia",9146,9148,9016,8881,8834
"Wetzel County, West Virginia",16557,16414,16420,16191,15988
"Wirt County, West Virginia",5734,5789,5806,5875,5845
"Wood County, West Virginia",86981,86798,86561,86400,86237
"Wyoming County, West Virginia",23733,23474,23251,22960,22598
"Adams County, Wisconsin",20864,20908,20528,20504,20215
"Ashland County, Wisconsin",16165,16084,15907,16064,16103
"Barron County, Wisconsin",45842,45911,45777,45604,45455
"Bayfield County, Wisconsin",15014,15106,15090,15125,14985
"Brown County, Wisconsin",248484,250556,253014,254765,256670
"Buffalo County, Wisconsin",13548,13473,13332,13330,13188
"Burnett County, Wisconsin",15430,15506,15357,15316,15328
"Calumet County, Wisconsin",48989,49684,49704,49644,49491
"Chippewa County, Wisconsin",62615,62929,63051,63199,63460
"Clark County, Wisconsin",34687,34738,34465,34562,34423
"Columbia County, Wisconsin",56888,56716,56461,56613,56615
"Crawford County, Wisconsin",16615,16664,16531,16424,16392
"Dane County, Wisconsin",489007,496307,503293,510027,516284
"Dodge County, Wisconsin",88659,88737,88576,88399,88574
"Door County, Wisconsin",27712,27883,27710,27873,27766
"Douglas County, Wisconsin",44181,44014,43816,43796,43698
"Dunn County, Wisconsin",43886,43885,43930,44221,44305
"Eau Claire County, Wisconsin",99018,99909,100840,101704,101564
"Florence County, Wisconsin",4404,4498,4472,4517,4481
"Fond du Lac County, Wisconsin",101645,101792,101702,101648,101759
"Forest County, Wisconsin",9292,9261,9183,9128,9127
"Grant County, Wisconsin",51187,51231,50991,51120,51829
"Green County, Wisconsin",36852,36972,36881,37086,37063
"Green Lake County, Wisconsin",19032,19097,19075,18967,18836
"Iowa County, Wisconsin",23662,23778,23766,23740,23825
"Iron County, Wisconsin",5893,5999,5938,5887,5917
"Jackson County, Wisconsin",20465,20534,20477,20585,20652
"Jefferson County, Wisconsin",83686,83905,84408,84610,84395
"Juneau County, Wisconsin",26667,26687,26746,26540,26395
"Kenosha County, Wisconsin",166577,166821,167352,167521,168068
"Kewaunee County, Wisconsin",20574,20617,20618,20474,20444
"La Crosse County, Wisconsin",114859,115320,116831,117330,118011
"Lafayette County, Wisconsin",16793,16953,16872,16766,16853
"Langlade County, Wisconsin",19936,19883,19729,19572,19410
"Lincoln County, Wisconsin",28747,28440,28472,28676,28493
"Manitowoc County, Wisconsin",81286,81139,80816,80623,80160
"Marathon County, Wisconsin",134065,134531,134689,135365,135780
"Marinette County, Wisconsin",41705,41454,41488,41497,41298
"Marquette County, Wisconsin",15390,15343,15186,15149,15050
"Menominee County, Wisconsin",4257,4372,4373,4382,4522
"Milwaukee County, Wisconsin",948210,951481,954521,956386,956406
"Monroe County, Wisconsin",44755,45109,45087,45249,45379
"Oconto County, Wisconsin",37654,37590,37420,37334,37417
"Oneida County, Wisconsin",35938,35826,35746,35696,35563
"Outagamie County, Wisconsin",176861,177727,178877,180225,182006
"Ozaukee County, Wisconsin",86349,86707,87030,87095,87470
"Pepin County, Wisconsin",7444,7415,7387,7368,7335
"Pierce County, Wisconsin",41110,40822,40674,40733,40958
"Polk County, Wisconsin",44154,43948,43525,43424,43437
"Portage County, Wisconsin",69977,70156,70481,70587,70482
"Price County, Wisconsin",14105,14018,13870,13772,13675
"Racine County, Wisconsin",195446,194979,194683,194922,195163
"Richland County, Wisconsin",17985,17987,17799,17779,17662
"Rock County, Wisconsin",160230,160001,160271,160633,161188
"Rusk County, Wisconsin",14722,14611,14302,14371,14333
"St. Croix County, Wisconsin",84398,84924,85220,85908,86759
"Sauk County, Wisconsin",62019,62405,62540,63063,63379
"Sawyer County, Wisconsin",16561,16530,16540,16513,16437
"Shawano County, Wisconsin",41933,41778,41603,41594,41579
"Sheboygan County, Wisconsin",115418,115312,114952,114868,115290
"Taylor County, Wisconsin",20630,20760,20474,20577,20540
"Trempealeau County, Wisconsin",28853,29056,29371,29579,29509
"Vernon County, Wisconsin",29735,30033,30203,30285,30362
"Vilas County, Wisconsin",21439,21366,21281,21355,21398
"Walworth County, Wisconsin",102161,102783,103052,103079,103527
"Washburn County, Wisconsin",15934,15787,15835,15673,15694
"Washington County, Wisconsin",131897,132157,132581,132746,133251
"Waukesha County, Wisconsin",390079,390796,392623,393940,395118
"Waupaca County, Wisconsin",52417,52337,52028,52212,52066
"Waushara County, Wisconsin",24492,24570,24477,24330,24178
"Winnebago County, Wisconsin",167004,167558,168634,169360,169511
"Wood County, Wisconsin",74780,74619,74354,73944,73608
"Albany County, Wyoming",36440,36913,37363,37574,37811
"Big Horn County, Wyoming",11674,11745,11778,12006,11930
"Campbell County, Wyoming",46223,46590,47897,48210,48320
"Carbon County, Wyoming",15835,15818,15679,15791,15854
"Converse County, Wyoming",13817,13720,14005,14316,14097
"Crook County, Wyoming",7108,7121,7139,7158,7248
"Fremont County, Wyoming",40224,40589,41125,41052,40703
"Goshen County, Wyoming",13411,13604,13670,13578,13514
"Hot Springs County, Wyoming",4804,4809,4845,4856,4816
"Johnson County, Wyoming",8568,8627,8606,8622,8573
"Laramie County, Wyoming",92199,92607,94849,96015,96389
"Lincoln County, Wyoming",18075,18004,17926,18326,18567
"Natrona County, Wyoming",75466,76416,78686,81143,81624
"Niobrara County, Wyoming",2491,2484,2475,2549,2463
"Park County, Wyoming",28262,28467,28805,29154,28989
"Platte County, Wyoming",8680,8700,8735,8735,8799
"Sheridan County, Wyoming",29148,29275,29598,29836,30032
"Sublette County, Wyoming",10231,10127,10412,10087,10057
"Sweetwater County, Wyoming",43599,44048,45115,45205,45010
"Teton County, Wyoming",21290,21482,21704,22375,22930
"Uinta County, Wyoming",21103,20917,20989,21031,20904
"Washakie County, Wyoming",8541,8466,8441,8450,8322
"Weston County, Wyoming",7169,7102,7051,7154,7201
"Adjuntas Municipio, Puerto Rico",19473,19345,19170,19052,18900
"Aguada Municipio, Puerto Rico",41917,41656,41221,40759,40329
"Aguadilla Municipio, Puerto Rico",60788,60088,59067,58106,57290
"Aguas Buenas Municipio, Puerto Rico",28654,28390,28098,27799,27473
"Aibonito Municipio, Puerto Rico",25878,25597,25265,24903,24561
"Añasco Municipio, Puerto Rico",29271,29154,28909,28635,28403
"Arecibo Municipio, Puerto Rico",96263,95139,93954,92951,91540
"Arroyo Municipio, Puerto Rico",19572,19477,19288,19084,18853
"Barceloneta Municipio, Puerto Rico",24827,24868,24950,24938,24958
"Barranquitas Municipio, Puerto Rico",30324,30252,30073,29880,29697
"Bayamón Municipio, Puerto Rico",207644,205090,201608,197813,194210
"Cabo Rojo Municipio, Puerto Rico",50963,50904,50747,50569,50349
"Caguas Municipio, Puerto Rico",142854,141796,140390,138760,137032
"Camuy Municipio, Puerto Rico",35122,34849,34471,34084,33664
"Canóvanas Municipio, Puerto Rico",47694,47773,47762,47589,47457
"Carolina Municipio, Puerto Rico",176420,174226,171474,168611,165820
"Cataño Municipio, Puerto Rico",28077,27694,27235,26777,26274
"Cayey Municipio, Puerto Rico",48115,47763,47306,46783,46293
"Ceiba Municipio, Puerto Rico",13611,13390,13122,12878,12607
"Ciales Municipio, Puerto Rico",18753,18505,18243,17979,17728
"Cidra Municipio, Puerto Rico",43477,43245,42971,42579,42118
"Coamo Municipio, Puerto Rico",40568,40643,40528,40409,40331
"Comerío Municipio, Puerto Rico",20796,20683,20536,20396,20253
"Corozal Municipio, Puerto Rico",37134,36874,36514,36098,35693
"Culebra Municipio, Puerto Rico",1820,1814,1815,1817,1818
"Dorado Municipio, Puerto Rico",38237,38369,38342,38314,38264
"Fajardo Municipio, Puerto Rico",36880,36308,35593,34864,34049
"Florida Municipio, Puerto Rico",12688,12618,12603,12504,12411
"Guánica Municipio, Puerto Rico",19376,19006,18653,18246,17852
"Guayama Municipio, Puerto Rico",45277,44532,44077,43953,43467
"Guayanilla Municipio, Puerto Rico",21525,21226,20881,20528,20148
"Guaynabo Municipio, Puerto Rico",97788,96811,95536,94207,92799
"Gurabo Municipio, Puerto Rico",45555,46149,46553,46899,47145
"Hatillo Municipio, Puerto Rico",41969,41983,41846,41734,41618
"Hormigueros Municipio, Puerto Rico",17247,17188,17051,16885,16746
"Humacao Municipio, Puerto Rico",58370,57891,57221,56537,55884
"Isabela Municipio, Puerto Rico",45657,45424,45014,44581,44149
"Jayuya Municipio, Puerto Rico",16638,16449,16197,15936,15693
"Juana Díaz Municipio, Puerto Rico",50739,50432,49946,49410,48853
"Juncos Municipio, Puerto Rico",40344,40379,40321,40275,40102
"Lajas Municipio, Puerto Rico",25707,25439,25169,24803,24465
"Lares Municipio, Puerto Rico",30629,30064,29423,28805,28208
"Las Marías Municipio, Puerto Rico",9870,9699,9524,9353,9158
"Las Piedras Municipio, Puerto Rico",38719,38861,38808,38734,38671
"Loíza Municipio, Puerto Rico",30016,29579,29057,28551,28065
"Luquillo Municipio, Puerto Rico",20056,19948,19771,19542,19338
"Manatí Municipio, Puerto Rico",44039,43550,42939,42299,41675
"Maricao Municipio, Puerto Rico",6278,6226,6146,6090,6022
"Maunabo Municipio, Puerto Rico",12215,12074,11919,11746,11565
"Mayagüez Municipio, Puerto Rico",88786,87231,85465,83726,81915
"Moca Municipio, Puerto Rico",40104,39823,39413,38946,38461
"Morovis Municipio, Puerto Rico",32649,32652,32544,32379,32194
"Naguabo Municipio, Puerto Rico",26772,26904,26925,26917,26886
"Naranjito Municipio, Puerto Rico",30384,30250,30083,29851,29602
"Orocovis Municipio, Puerto Rico",23426,23214,22936,22668,22392
"Patillas Municipio, Puerto Rico",19258,19036,18769,18506,18261
"Peñuelas Municipio, Puerto Rico",24219,23815,23317,22821,22365
"Ponce Municipio, Puerto Rico",165714,162977,159613,156456,153540
"Quebradillas Municipio, Puerto Rico",25899,25758,25550,25310,25042
"Rincón Municipio, Puerto Rico",15199,15121,15009,14879,14782
"Río Grande Municipio, Puerto Rico",54298,53993,53807,53374,52668
"Sabana Grande Municipio, Puerto Rico",25250,25007,24680,24402,24121
"Salinas Municipio, Puerto Rico",31046,30864,30507,30233,29881
"San Germán Municipio, Puerto Rico",35629,35272,34803,34194,33725
"San Juan Municipio, Puerto Rico",394234,387740,380380,372815,365575
"San Lorenzo Municipio, Puerto Rico",41020,40721,40348,39954,39524
"San Sebastián Municipio, Puerto Rico",42337,41836,41255,40622,39969
"Santa Isabel Municipio, Puerto Rico",23289,23255,23144,23023,22860
"Toa Alta Municipio, Puerto Rico",74278,74691,74802,74833,74837
"Toa Baja Municipio, Puerto Rico",89465,88278,86912,85546,84165
"Trujillo Alto Municipio, Puerto Rico",74757,74047,73147,72179,71019
"Utuado Municipio, Puerto Rico",33056,32639,32102,31582,31050
"Vega Alta Municipio, Puerto Rico",39951,39915,39721,39526,39236
"Vega Baja Municipio, Puerto Rico",59554,58795,57960,57102,56166
